id	original_title	french_title	romanized_title	language	release_year	runtime	genres	avg_rating	vote_count	directors	writers	budget	revenue	production_companies	production_countries	poster_path	trailer_url	kw_tmdb	kw_imdb	plot
tt0067148	ゴジラ対ヘドラ	Godzilla contre Hedora	Gojira tai Hedora	Japanese	1971	85	Animation, Action, Family, Horror, Sci-Fi, Thriller	6.1	6508	Ishirô Honda		250000	2768400	TOHO	Japan	/mWVRlVwWK3sUCGd9lzMMWUa7CBu.jpg		japan, pollution, giant monster, sequel, ecology, gojira, kaiju, water pollution, smog, acid burning, godzilla, hedorah	godzilla, smog monster, tokusatsu, water pollution, tentacle	An ever-evolving alien life form from the Dark Gaseous Nebula arrives to consume rampant pollution. Spewing mists of sulfuric acid and corrosive sludge, neither humanity or Godzilla may be able to defeat this toxic menace.
tt0067199	緋牡丹博徒 お命戴きます	Lady Yakuza: Prépare-toi à mourir	Hibotan bakuto: Oinochi itadaki masu	Japanese	1971	93	Crime, Drama	6.9	90	Tai Katô	Tai Katô, Norifumi Suzuki	0	0	Toei Company	Japan	/cOTOiHN7SOARWMqvB8XMSdBnFWO.jpg			pollution, sequel, seventh part	Oryu meets villagers whose crops and livelihoods are being damaged by air pollution from a local factory.
tt0067249	いのちぼうにふろう	L'Auberge du mal	Inochi bô ni furô	Japanese	1971	121	Crime, Drama	7.4	2056	Masaki Kobayashi		0	0	TOHO	Japan	/uEPlD1sxQP7656Q4HnavGhb7UNm.jpg		based on novel or book, stolen money, inn, edo period, feudal japan	money, japan, inn, tokugawa shogunate, tavern	The story takes place in feudal Japan, when any commerce with the rest of the world was strictly prohibited. An idealist suddenly appears in an isolated inn (the one that the title refers to), the head-quarters of a group of smugglers, with stolen money intended to ransom his loved one who is forced to work in a brothel.
tt0067254	一夫當關	L'epée de la puissance	Yi fu dang guan	Chinese Simplified	1971	84	Action, Adventure	6.4	53	Teng-Hung Hsu	Teng-Hung Hsu	0	0	Orange Sky Golden Harvest	Taiwan, Hong Kong	/3LZyF7G265rirDkO3QO8nMr6oNb.jpg				During the Sung dynasty, Ch'in Kuei, a corrupt premier, orders the arrest of Yüeh Fei, an heroic general. Ling Yu Fong, an idealistic follower of the general, recruits a small force to free him, failing miserably, losing most of his troops and sustaining wounds. He's hidden and nursed back to health by a troupe of traveling acrobats, two brothers and two sisters. One of the sisters falls in love with Ling. He asks them to help him free the general, and the five undertake this quest against great odds. The general himself brings an element into the story that his liberators do not anticipate.
tt0067286	海底３万マイル	30000 lieues sous les mers	Kaitei 30,000 mairu	Japanese	1970	60	Animation, Action, Adventure, Fantasy, Sci-Fi	6.6	102	Kimio Yabuki		0	0	Toei Company	Japan	/2cbX39IxMUb6Xjs5QYSWc74ccdd.jpg			kaiju, anime animation, surrealism, sea, japan	King Magma VII, the ruler of the underground world, is planning to conquer the whole world. Riding the fire dragon Isamu (a young boy) and Angel (the princess of the undersea kingdom), try to stop him from destroying their world with the help of their loyal friends, Tail and Octopus.
tt0067322	鍾馗娘子	Les griffes de Jade	Zhong kui niang zi	Chinese Traditional	1971	105	Action, Drama	7.2	426	Meng-Hua Ho	I. Fang Yeh	0	0	Shaw Brothers	Hong Kong	/hIUY8swYFonxI5dHl5R9TAf3ntu.jpg			polyamory, kung fu, love triangle, swordswoman, wuxia	Martial arts star Cheng Pei pei and versatile director Ho Meng hua were a great team, who elevated this tale of a virtuous swordswoman's revenge on the Black Demon who injured her to one of the best of both their careers.
tt0067503	呪いの館 血を吸う眼	Le lac de Dracula	Noroi no yakata: Chi o suu me	Japanese	1971	82	Horror	6.2	1063	Michio Yamamoto	Ei Ogawa	0	0	TOHO	Japan	/dFJ6jAfO7j9mc6CzDt8HOOjRZYc.jpg		vampire	vampirism, grindhouse film, asian horror, japanese horror, women	A doctor investigates the murders of several women at a lakeside resort. His investigation leads him to believe that a vampire is responsible for the murders. He sets out to track the vampire down.
tt0067523	激動の昭和史　沖縄決戦	Les marines attaquent Okinawa	Gekidô no Shôwa-shi: Okinawa kessen	Japanese	1971	149	Drama, History, War	6.9	462	Kihachi Okamoto	Ryôzô Kasahara, Kaneto Shindô	0	0	TOHO	Japan	/dq2g8cBDH8i5vNOZ7xJbIrmO5Y5.jpg		world war ii, u.s. navy, pacific war, japanese army	battle of okinawa, japanese soldier, year 1945, military uniform, japanese military	Told from the Japanese perspective, this war drama captures the events of World War II's Battle of Okinawa - a massive amphibious assault by U.S. troops that left more than 150,000 Japanese civilians dead.
tt0067730	赤軍-PLFP 世界戦争宣言	Déclaration de guerre mondiale: armée rouge, front de libération palestinien	Sekigun-P.F.L.P: Sekai sensô sengen	Japanese	1971	69	Documentary	6.2	164	Masao Adachi, Kôji Wakamatsu		0	0	Wakamatsu Production	Japan	/vYO59YajzKqThHg1HLajAvFSsIq.jpg		palestine, politics, red army	left wing radical, leftist politics, leftist radical group, new left, revolutionary group	It was a milestone of film as activism, cinema as movement in Japan's context. Adachi and Wakamatsu went to Beirut on the way back from the Cannes Film Festival. There, in collaboration with the Red Army members and PFLP, they produced this newsreel film depicting the everyday activities of Arab guerrillas as a cinematic narrative on the world revolution.
tt0067755	沈黙 SILENCE	Silence	Chinmoku	Japanese	1971	129	Drama, History	7.2	1180	Masahiro Shinoda	Masahiro Shinoda	0	0	Hyogensha-Mako International	Japan	/8C08Kex73PXwiOPygyC0RScOYFU.jpg		based on novel or book, christianity, jesuits (society of jesus), 17th century, religious persecution	bare chested male, screenplay adapted by author, priest, persecution, japan	Two Jesuit priests encounter persecution when they travel to Japan in the 17th century to spread Christianity and to locate their mentor.
