id	french_title	tags
tt0024676	La femme de Tokyo	drama ryoichi and chikako are brother and sister. they live together. chikako work dure the day in an offic and at night she prostitut herself to fund her brother' studi at the university. ryoichi doesn't know about hi sister' secret life, but he is date haru whose brother is a policeman. prostitut parent basedonnovel yasujirôozu
tt0024793	Rêves de chaque nuit	drama a singl mother work tirelessli as a ginza bar hostess to ensur a better life for her young son until--h long-lost husband returns. son tokyo japan singlemoth silentfilm husband bar mother husband young son mikionarus
tt0025214	Une femme devrait être aimée	drama two half-broth tri to cope with the loss of their father. adapt stepmoth stepson stepbroth lossoffath uncaringstepson yasujirôozu
tt0025338	La rue sans fin	drama stori of a waitress whose life, despit a host of male admir and even some intrigu movi talent scouts, end up take a stiflingli domest turn after a wealthi businessman accident hit her with hi car. waitress boredom marriag hospit caraccid famili hometown boyfriend waitress mikionarus
tt0025929	Histoire d'un acteur ambulant	drama a kabuki actor' mistress hatch a jealou plot to bring down her lover' son. flyfish reveng familyabandon mistress train unknownfath silentfilm agingactor childabandon paternityrev malebond financialruin illegitimateson theatertroup japaneseman kabuki startingov fathersonconflict remad actor womanscorn absentfath revengeforch troup absentfath jealouslov silentmovi actor yasujirôozu
tt0026444	Les coquelicots	drama base on soseki natsume' 1908 novel of the same title, poppi is an ornat complic stori of desir and ambition. fujio is beautiful, talented, well-heeled, and engag to munechika, a rise young diplomat. she ha promis him a gold watch, a famili heirloom, as an emblem of their engagement. but she fall in love with ono, a student employ to tutor her in english, who is attract by her beauti and wealth. ono is himself bound by an engag to sayoko, the daughter of hi mentor, professor inoue. the self-cent fujio is readi to forsak everyth for ono, but he is prevail upon to go ahead with hi marriag to sayoko. fujio then offer the watch to munechika who, perceiv fujio' true feelings, hurl the watch into the sea. basedonnovelorbook heirloom familyhonor teacherstudentrelationship fatherdaughterrelationship promiseofmarriag seduct kenjimizoguchi
tt0026449	Une jeune fille pure	drama yasujirôozu
tt0026551	L'actrice et le poète	comedi among the tight-knit neighbour are a poet, hi actress wife, a bachelor bud author, a tobacco shop owner-cum-landlady, an insur salesman and hi nosi and greedi wife. enter a young and seemingli high-class coupl who just so happen is open to purchas life insur from their swift neighbour. in the meantime, life is imit art across the street, which may end up provid for either a happi end or a rude split - eventu that is. landlord landladi suicid store shop mikionarus
tt0026682	Oyuki la vierge	drama war dure a war in the 19th century, a villag link to rebelli forc is attack by the govern army, so a rich famili decid to run away; two courtesan travel along them. villag everydaylifeduringwartim fatherpimpsoutdaught hypocrisi honor kenjimizoguchi
tt0026830	Osen la grue de papier	drama in tokyo, osen is the servant girl of an unscrupul antiqu dealer, kumazawa, who take in the penniless sokichi hata. kumazawa mistreat sokichi and osen, while swindl some buddhist monk out of their templ treasures. when kumazawa is arrested, osen agre to help sokichi financ hi dream of go to medic school. they live in a humbl room, and eventu the onli way osen can find enough money for them is to prostitut herself dure the day, without sokichi knowing. shinpa kenjimizoguchi
